user input,qwen0.8B,qwen2B,qwen9B,gpt-4.1-mini
"I don't like onions and garlic, can you recommend a vegetarian dish that avoids both but still tastes good? ",Vegetarian onion-free dish taste good,no onion no garlic vegetarian recipe quick easy 45min,vegetarian no onion no garlic,"vegetarian, no onion, no garlic, flavorful, easy"
"I want something simple without too many spices, just a mild vegetarian dish for dinner ",vegetarian dinner recipe,"dinner, simple, mild spices, vegetarian, low spice",dinner vegetarian mild simple low spice,"dinner, vegetarian, mild, simple, low spice, easy"
"I am trying to avoid oily food, can you suggest something that is light and not fried?",1. Light food 2. Fried free 3. High protein 4. Low calorie,"no oil, low calorie, vegetarian, vegan","light, non-oily, non-fried","light, no fried, no oily, healthy, snack or meal"
"I have some potatoes, tomatoes, and a few basic spices at home, can you suggest something simple I can cook for dinner? ",dinner,"dinner, full course, simple, quick time, basic ingredients",dinner easy potato tomato spice,"dinner, easy, potatoes, tomatoes, basic spices, simple"
"I only have rice and some mixed vegetables in my fridge, what can I prepare quickly for a meal? ","rice, quick meal, vegetables, healthy ingredients",quick meal rice vegetable simple dish dinner healthy easy,"rice, mixed vegetables, quick, dinner","quick meal, rice, mixed vegetables, easy, lunch or dinner, vegetarian"
"I recently bought paneer and want to cook something easy and tasty for dinner, any suggestions? ",paneer quick dinner curry,easy dinner vegan full course low calorie healthy,"dinner, easy, paneer, Indian, dish","dinner, easy, paneer, Indian, tasty, vegetarian"
"I have some leftover spinach and I don't want it to go to waste, can you suggest a simple recipe? ","spinach, quick, healthy","leftover spinaknospinachopineachin
quickrecipe
simple
homemade","snack, easy, spinach","dinner, easy, spinach, simple, healthy, vegetarian"
"I have chickpeas and a few vegetables, can you suggest a healthy vegetarian dish I can prepare?",vegetarian meal chickpeas vegetables healthy dietary,vegetarian diet no eggs vegan quick easy chickpeas vegetables protein,vegetarian healthy chickpeas vegetable,"vegetarian, healthy, chickpeas, vegetables, easy, main course"
"I'm in the mood for some Indian food tonight, can you suggest a simple vegetarian dinner that's not too spicy? ","indian food, dinner, vegetarian, no spicy","Indian, vegetarian, dinner, not too spicy, quick meal","Indian, dinner, vegetarian, easy, mild spice, snacks","Indian, vegetarian, dinner, simple, mild spice"
"I feel like eating something Italian but vegetarian, maybe something simple and quick to prepare ",Italian cuisine quick preparation,"Italian, vegetarian, simple, quick, easy

**Analysis:**
*   **Cuisine/Type:** ""Italian"" is explicitly mentioned in the text.
*   **Constraints:** ""vegetarian"" indicates dietary constraints; the tone (""simple"") implies low calorie/healthy/nutrition fit for a quick meal.
*   **Time/Context:** ""quick to prepare"" implies a dinner or lunch context (not breakfast/snack) and suggests an ""easy"" difficulty rating.

**Selected Keywords:** Italian, vegetarian, simple, quick, easy","Italian, vegetarian, simple, quick, dinner, light","Italian, vegetarian, quick, easy, simple, dinner"
I want to try something Mediterranean style but keep it vegetarian and healthy ,vegetarian healthy medium difficulty quick time lowcalorie cuisine Greek style full course,mediterranean vegetarian healthy,"Mediterranean, Vegetarian, Healthy","Mediterranean, vegetarian, healthy, lunch, easy"
"I'm craving something warm and comforting, maybe a curry or stew, but not too heavy ","creaming, curry, hot meal",warm comforting meal curries stews diet low fat quick,"curry, stew, comfort food, light meal","dinner, warm, comforting, curry, stew, light, easy"
I want a classic homemade vegetarian dish that feels traditional and comforting,"vegetarian, comfort food, traditional, high protein",classic vegetarian home food comforting traditional full course easy light healthy vegan,"vegetarian, traditional, comforting, meal","vegetarian, traditional, comforting, homemade, classic, main course, easy"
"I just got back from the gym late in the evening and I want something high in protein, quick to cook, and not too heavy before bed ",High protein; quick to cook; no overnight meal,high protein quick cook dinner post-gym,gym | dinner | high protein | quick | light | snack,"dinner, high protein, quick, light, easy"
"I have very little time and very few ingredients, can you suggest a simple vegetarian recipe that I can prepare quickly without much effort? ","vegetarian, quick, easy","quick, easy, vegetarian, low-effort, simple","quick, vegetarian, easy, simple, few ingredients","vegetarian, quick, simple, few ingredients, easy, snack"
"I want something light for dinner that is healthy, quick to prepare, and doesn't include dairy or too much oil ","light, healthy, quick, no-dairy, low-oil",light meal dinner high protein no dairy fast easy,"dinner, light, healthy, quick, no dairy, low oil","dinner, light, healthy, quick, no dairy, low oil, easy"
"I am feeling a bit unwell and want something warm, simple, and easy to digest for dinner ","Warm, simple, easy to digest, dinner","dinner, simple, warm, easy to digest","dinner, easy to digest, simple, warm","dinner, warm, easy, simple, light, easy to digest"
"I want a quick vegetarian meal for dinner that is healthy, uses common ingredients, and doesn't take more than 20 minutes to prepare",vegetarian quick dinner health fast ingredients,"vegetarian, dinner, healthy, quick, under 20 mins, protein, low calorie, easy","dinner, vegetarian, healthy, quick, 20 minutes, easy","dinner, quick, vegetarian, healthy, common ingredients, under 20 minutes, easy"
"I'm cooking just for myself tonight and don't want leftovers, can you suggest a simple vegetarian dinner that's quick, easy, and perfectly portioned for one person?","breakfast, meal time, one person, quick, easy, lunch","vegetarian, dinner, vegan, quick, simple, portioned, single-person, no-leftovers, easy",vegetarian dinner quick easy single serving no leftovers,"vegetarian, dinner, quick, easy, single serving, simple"
"I need to prepare dinner for my family of 3, can you suggest a balanced vegetarian meal with 2-3 dishes that includes something filling, something light, and doesn't take too long to cook?","vegetarian meal, family size, filling light, quick cooking","vegetarian, vegetarian, dinner, time limited, balanced",dinner vegetarian balanced filling light quick,"dinner, balanced, vegetarian, 2-3 dishes, filling and light, quick, family meal"
"I'm cooking for a family of 4 and want a proper meal with some variety, maybe a main dish, a side, and something simple like rice or bread, all vegetarian and not too complicated","vegetarian, high protein, easy, quick",family of 4 dinner lunch vegetarian non-vegetarian full course healthy,"vegetarian, dinner, easy, rice, main course","dinner, family meal, vegetarian, main dish, side dish, rice or bread, easy"
"I'm hosting a small house party for around 6-7 people, can you suggest a vegetarian menu with a mix of snacks, one main dish, and maybe a light dessert that I can prepare without too much stress?",vegetarian menu snack main dish light dessert,party meal snack side vegetarian easy,vegetarian snack main dish dessert party easy,"vegetarian, snacks, main dish, light dessert, easy, party, 6-7 people"
"I have guests coming over for dinner tomorrow, around 5 people, and I want to prepare a nice vegetarian spread with multiple dishes that look impressive but are still manageable to cook","vegetarian spread, multiple dishes, time required (dinner), high protein",dinner party vegetarian multiple dishes impressive manageable cook 7pm 5 people,dinner vegetarian impressive manageable,"dinner, vegetarian, multiple dishes, impressive, manageable, medium difficulty"
"I'm having a casual get-together with friends, about 4-5 people, can you suggest a few easy vegetarian dishes that I can prepare in advance and serve together?","get-together, easy vegetables, dinner",casual dinner easy vegan vegetarian full course quick,"casual, dinner, party, vegetarian, no meat, easy","casual meal, vegetarian, easy, make-ahead, party, appetizer, snack"
"I want to cook for the next 2-3 days for myself, can you suggest a couple of vegetarian dishes that store well and can be eaten over multiple meals? ","meal, vegetables, vegetarian, dinner, quick, easy","vegetarian, low-calorie, healthy, easy, quick, dinner, meal prep, storage-friendly","vegetarian, meal prep, storage-friendly, make-ahead","vegetarian, meal prep, multiple meals, easy, store well, lunch, dinner"
"I'm planning a vegetarian dinner for about 8-10 people, can you suggest a menu with a good variety of dishes including something filling, something light, and maybe a side or accompaniment?",breakfast lunch dinner snack high protein medium,"vegetarian, dinner, full course, high protein, healthy, vegan, vegetarian, 8-10 people, filling, accompaniment","vegetarian, dinner, party menu, varied dishes, filling, light, sides","vegetarian, dinner, variety, filling, light, side, 8-10 people"
